publish_date,id,title,sentiments,effects,sound,behaviour,tags,people,location
2019-03-07,dsyzLXVq_9I,Die Frage nach der Unendlichkeit - Thomas adF Veit,0,0,0,0,0,0,0
2019-02-27,c9eKFHwbt3Q,Du hast mir beigebracht zu lieben und nicht zu hassen,0,0,0,0,0,0,0
2019-02-26,7vxhIuNWNoc,Hätte Wäre Wenn,0,0,0,0,0,0,0
2019-02-22,I0ue_j9KsjU,Jeder Weg beginnt mit einem ersten Schritt,0,0,0,0,0,0,0
2019-02-21,t9lptHTgtCU,Die Tagesthemen,0,0,0,0,0,0,0
2019-02-17,pnvThWITrUY,Der Weg Thomas Veit 08022019,0,0,0,0,0,0,0
2019-02-14,VGq9KqyvM_k,wissen thomas veit podcast 20190205,0,0,0,0,0,0,0
2019-02-13,_8HlZ59MS2k,Projektarbeit Wissen Thomas Veit 20190210,0,0,0,0,0,0,0
2019-02-10,faIlWxFJ1gA,Illusion - Ein Definitionsversuch,0,0,0,0,0,0,0
2019-02-07,cAps2a4pJ6A,wissen thomas veit,0,0,0,0,0,0,0
2019-02-07,Aai8lHaTNyI,Sein Umgang mit den Dingen,0,0,0,0,0,0,0
2019-02-04,Ek48i_Y21NE,Thomas der Ungläubige,0,0,0,0,0,0,0
2019-02-02,Cunpmw50fN8,01-02-2019#20.07.53,0,0,0,0,0,0,0
2019-01-31,TdeTR6wbzYQ,Wir atmen sauren Stoff und nennen es Leben,0,0,0,0,0,0,0
2019-01-31,mb8WSXcD7eY,Die Aufllösung: Herzlich Willkommen in der Matrix,0,0,0,0,0,0,0
2019-01-29,RJfu63gcH5Y,Wie aus Göttern Affen wurden Wie aus Affen Götter werden,0,0,0,0,0,0,0
2019-01-27,Si8nPa9-6R4,welch dummer Zufall: Herzlich willkommen in der Matrix,0,0,0,0,0,0,0
2019-01-27,M9DfJ3UzSRE,Training für werdende Götter,0,0,0,0,0,0,0
2019-01-27,vQdlbf9sSE4,Das Leben bis dahin,0,0,0,0,0,0,0
